160CDL480B - Performance Data,,,,,,,,
,,INPUT PARAMETERS,,OUTPUT MEASUREMENTS,,,,
Config,Test Point,Airflow (SCFM),Pressure (PSIG),BHP,RPM,% Max Speed,% Max Pressure,
,234,1646.4,9,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,235,2051.7,9,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,236,2547.3,9,,,,,CycloBlower H.E. - 160CDL480 RC1 Low Compression (FFL) - Model  Not Availabe
,237,443,12,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,238,827.9,12,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,239,1219.7,12,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,240,1618.4,12,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,241,2024.1,12,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,242,2520,12,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,243,413.3,15,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,244,798.5,15,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,245,1190.6,15,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,246,1589.7,15,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,247,1995.6,15,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,248,2491.9,15,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,249,382.8,18,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,250,768.3,18,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,251,1160.8,18,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,252,1560.1,18,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,253,1966.4,18,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,254,2463,18,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,255,747.8,20,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,256,1140.4,20,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,257,1540,20,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,258,1946.4,20,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
,259,2443.3,20,,,,,CycloBlower H.E. - 160CDL480 RC2 Low Compression (FFL) - Model  Not Availabe
RC3 (Low),260,395.1,12,,,,,CycloBlower H.E. - 160CDL480 RC3 Low Compression (FFL) - Model  Not Availabe
,261,770.1,12,,,,,CycloBlower H.E. - 160CDL480 RC3 Low Compression (FFL) - Model  Not Availabe
,262,1156.6,12,,,,,CycloBlower H.E. - 160CDL480 RC3 Low Compression (FFL) - Model  Not Availabe
,263,1554.6,12,,,,,CycloBlower H.E. - 160CDL480 RC3 Low Compression (FFL) - Model  Not Availabe
,264,1964,12,,,,,CycloBlower H.E. - 160CDL480 RC3 Low Compression (FFL) - Model  Not Availabe
,265,2470.3,12,,,,,CycloBlower H.E. - 160CDL480 RC3 Low Compression (FFL) - Model  Not Availabe
,266,388,15,,,,,CycloBlower H.E. - 160CDL480 RC3 Low Compression (FFL) - Model  Not Availabe
,267,763.4,15,,,,,CycloBlower H.E. - 160CDL480 RC3 Low Compression (FFL) - Model  Not Availabe
,268,1150.2,15,,,,,CycloBlower H.E. - 160CDL480 RC3 Low Compression (FFL) - Model  Not Availabe
,269,1548.6,15,,,,,CycloBlower H.E. - 160CDL480 RC3 Low Compression (FFL) - Model  Not Availabe
,270,1958.3,15,,,,,CycloBlower H.E. - 160CDL480 RC3 Low Compression (FFL) - Model  Not Availabe
,271,2465.1,15,,,,,CycloBlower H.E. - 160CDL480 RC3 Low Compression (FFL) - Model  Not Availabe
,272,754.3,18,,,,,CycloBlower H.E. - 160CDL480 RC3 Low Compression (FFL) - Model  Not Availabe
